post_id,post_date,group,parent_post_id,author,content
1004,2016-12-20,8,181,hairy-conniption,Boston can suck my lucking cuticless...,
1005,2018-02-28,,124,aminox,I love MIT so much...,
1006,2019-11-16,18,492,sheik_yerbouti,I want the one that is some where in Silicon Valley, still contemplating the end of pi, as it has been doing since the 70's. I want the Harvard robot.,
1007,2017-01-24,19,50,mohamadi46,and i'll take you around, no worries ( we may have to recruit a better tourguide ) i'll even go on the boring London Eye with you, if you want..,
1008,2017-08-27,16,293,timequake,in San Juan because American Airlines sucks.,
1009,2018-10-05,,109,hairy-conniption,I miss Purdue right now..,
1010,2019-12-05,14,347,alex945,Not only are we ghetto girls but we both LOVE the Lakers.,
1011,2015-05-02,,271,maharnav,besides, UCLA was a stupid dream...,
1012,2015-11-09,5,305,artykom,boston kinda sucked, but my cousin erica in connecticut and my auntie pearl and uncle milin were cool.,
1013,2015-12-21,19,338,rps_1899,Some ugly Toyota wanna be Hummer Honda Element.....,
1014,2018-06-17,2,191,nitsua49,stupid lakers!!!!!!!!!!!,
1015,2018-07-27,2,426,artykom,I hate Paris Hilton.,
1016,2017-02-15,,54,nitsua49,The sweat was rolling off of me as soon as I stepped off the plane -- 2 hours delayed, thanks to United Airlines'brilliant customer service.,
1017,2017-11-12,,166,artykom,Today, when Monkee was backing out of the Milpitas Library's parking lot, some old asian man driving a Toyota was driving the wrong way.,
1018,2016-09-28,,410,artykom,I think it's pretty clear Angelina Jolie is an ignorant racist.,
1019,2018-09-15,,435,sosobanane,stupid UCLA..,
1020,2016-12-30,,292,hassan1365416,yeah, I'm already an hour away from T. O. so it's not close for me to go to kitchener or London which sucks...,
1021,2018-08-23,,74,hassan1365416,Purdue is going to be awesome!..,
1022,2018-04-13,,442,youralterego,The stem cell business went on way too long, and Gabrieli turned what should have been his strong point into  I love Harvard!,
1023,2015-03-08,,72,alex945,i miss london.,
1024,2017-08-01,,179,timequake,I really want the Hyundai...,
1025,2016-06-09,,364,mmarvin,The Honda civic is wicked awesome........,
1026,2018-01-16,,474,jerusseust,With that said god i cant wait to go there, seattle is awesome.,
1027,2016-02-12,,73,artykom,I think the new Volkswagen commericals are quite possibly the funniest things I've seen in a long time(,
1028,2016-05-12,,152,sosobanane,Seattle sucks......,
1029,2018-12-05,,267,nitsua49,Oh my god I LOVE Pommes mit Mayo.,
1030,2019-10-18,,57,piley159,I hate Paris Hilton.,
1031,2017-01-04,,378,artykom,I hate Tom Cruise.,
1032,2018-11-19,,179,sosobanane,Oh man, last night's Lakers playoff game was awesome.,
1033,2015-09-06,,428,f1984b,I like Tom Cruise, as I've stated over and over.,
1034,2015-07-07,,279,piley159,Angelina Jolie is beautiful.,
1035,2016-04-04,,225,sosobanane,The Toyota Prius is butt-ugly in my opinion.,
1036,2017-05-22,,40,harmon758,American Express was good enough to arrange a 4 hour layover for WaWa in Atlanta so that he go to the house and retrieve his passport and make it back in time to head to Toronto...,
1037,2016-11-05,,351,odalv,I love Purdue so much, when I first got here as a freshman, I never had a second thought about whether or not this was the right place for me.,
1038,2019-02-23,,152,stethoscopes,I want a tour of London on the back of that bike!,
1039,2017-01-10,,449,mmarvin,I'm tired of that STUPID Geico commercial with the cavemen.,
1040,2019-07-30,,435,sosobanane,also, san francisco is awesome and you would have a lot of fun there...,
1041,2019-08-12,,251,aminox,I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.,
1042,2019-03-27,,141,piley159,stupid lakers.....,
1043,2018-05-30,,307,odalv,I mean, we knew Harvard was dumb anyway -- right, B-girls? -- but this is further proof)...,
1044,2018-06-20,,31,sheik_yerbouti,I'd love a Toyota van..,
1045,2015-03-06,,65,rps_1899,beautiful ucla campus....,
1046,2017-07-12,,297,mohamadi46,i look across my beautiful boston, and something inside me is taken aback, struck with such force that i lose my breathe for a second...,
1047,2018-12-05,,211,maharnav,I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.,
1048,2018-07-26,,345,alex945,I absolutely love my MacBook Pro.,
1049,2016-04-05,,119,tahastanly,actually the only thing that i really like about purdue is my apartment....,
1050,2016-05-23,,423,amateur07,We've successfully created a powerpoint explaining why Tom Cruise would suck as a president...,
1051,2018-01-18,,27,alex945,I hate Paris Hilton.,
1052,2019-05-20,,279,rps_1899,American Airlines sucks.,
1053,2018-03-17,,250,hairy-conniption,I hate Paris Hilton.,
1054,2016-11-10,,398,fsv,stupid ata was telling me how the team wants to go to top 4 for US.,
1055,2018-02-21,,303,tahastanly,Oh my god I LOVE Pommes mit Mayo.,
1056,2018-05-16,,108,rexlex,I hate hillary clinton...,
1057,2015-03-08,,294,fsv,i nearly got knocked down by a lucking horrible beige volkswagen..,
1058,2019-11-07,,249,hassan1365416,we need at least ONE beautiful girl at ucla.,
1059,2017-10-15,,110,harmon758,Traffic in Seattle does stink, but it's a beautiful city to be stuck in.,
1060,2018-11-30,,232,hairy-conniption,I miss Purdue right now..,
1061,2016-10-30,,413,mohamadi46,The history here goes back to the summer of 1992, when the San Francisco Giants were terrible.,
1062,2015-05-09,,35,sosobanane,I miss my UCLA buds a lot, especially my BW friends.,
1063,2018-02-09,,205,sheik_yerbouti,i love UCLA...,
1064,2015-05-18,,253,sudebala,You are an ass and I think I may hate you even more than I hate Paris Hilton...,
1065,2015-04-14,,374,alex945,The Honda is awesome.,
1066,2019-02-21,,37,rps_1899,I still like Tom Cruise.,
1067,2015-04-22,,93,alex945,I like Tom Cruise, as I've stated over and over.,
1068,2016-02-07,,262,sosobanane,i love seattle..,
1069,2016-10-16,,291,cracking12345,I loathe Paris Hilton, Jessica Simpson, lindsay lohan, britney spears, nicole richie, Denise Richards..,
1070,2016-04-10,,472,artykom,i love seattle..,
1071,2019-01-01,,60,tahastanly,Boston can suck my lucking cuticless...,
1072,2018-06-30,,201,viperfish12,Stupid UCLA.,
1073,2015-07-07,,279,mohamadi46,That reminds me, I do hope I get my job back when I get back from London, that would suck.,
1074,2018-08-03,,372,piley159,And I would love myself a Macbook ( to be used for number crunching, surfing, gaming, and word processing ) if not for anything than it's  cool  factor lol..,
1075,2015-04-25,,352,alex945,Prolly going to Cambridge on Tuesday, I need to see MIT to survive till the rest of the term.,
1076,2015-01-15,,338,odalv,I love living in Boston, but sometimes I am lonely.,
1077,2019-03-28,,214,rexlex,My previous IBM ThinkPad were great workhorses as well, but I am totally wireless now: D..,
1078,2019-11-28,,209,odalv,I'm so glad I love Paris Hilton, too, or this would be excruciating.,
1079,2016-06-09,,500,stethoscopes,harvard is dumb, i mean they really have to be stupid to have not wanted her to be at their school.,
1080,2018-03-13,,75,sudebala,I really dislike the philosophy department at purdue.,
1081,2019-07-17,,144,amateur07,Along the sides of exit fly-over there were parallel parking spots for  attractive cars only  — the sign listed several criteria of which my crappy Honda qualified for none.,
1082,2016-10-04,,490,rexlex,Gwinnett Place Honda can suck it...,
1083,2015-12-26,,327,sosobanane,Have I told you I hate Tom Cruise?..,
1084,2017-11-02,,350,odalv,San Francisco's Disastrous Policy Exposed!..,
1085,2019-10-23,,196,bischopscup,i do i love angelina jolie!..,
1086,2015-02-04,,91,nitsua49,I LOVE San Francisco, it is one of my favorite cities.,
1087,2015-09-09,,199,stethoscopes,Three days at Purdue with three awesome people.,
1088,2016-03-23,,336,sudebala,UCLA SUCKS...,
1089,2018-12-05,,204,f1984b,Prolly going to Cambridge on Tuesday, I need to see MIT to survive till the rest of the term.,
1090,2018-06-05,,488,craciun05,either or, not too big though, I think Angelina Jolie's are unattractive.,
1091,2017-05-01,,376,jerusseust,Seattle sucks!!,
1092,2019-10-30,,463,sudebala,i love UCLA.,
1093,2019-05-09,,128,citrus2014,Well, I've gotta say, I miss London.,
1094,2015-10-10,,443,odalv,i remember our stupid notebook of figures, and sitting in algebra class at gustine high trying to figure out how much work it would take to afford that stupid san francisco studio apartement.,
1095,2018-02-12,,54,sudebala,I liked Tom Cruise until he dumped Nicole Kidman.,
1096,2017-12-30,,30,craciun05,And i've managed to cover all of my own food expenses as of thus far by working as Harvard's random task cutey -- doubly freaking sweet(,
1097,2018-05-27,,68,amateur07,i'm currently watching love at harvard on youtube(,
1098,2019-08-18,,157,mmarvin,Shanghai is beautiful ~..,
1099,2018-11-28,,117,rexlex,i love angelina jolie.,
1100,2017-08-08,,103,viperfish12,I said,  I was undefeated, just like the Chicago Bulls in a GOOD.,
1101,2015-07-22,,417,rexlex,I think at this moment i love San Francisco better than L. A..,
1102,2016-09-12,,291,alex945,Boston's been awesome.,
1103,2018-10-24,,15,sheik_yerbouti,i love UCLA.,
1104,2016-11-20,,74,artykom,hell ya i play on 2 basketball teams i love the lakers + pistons love both!!!!..,
1105,2018-02-07,,491,rps_1899,San Francisco Coffee rocks, yo!,
1106,2015-04-25,,395,cracking12345,& i adore my little honda < 3.,
1107,2017-11-24,,382,cracking12345,We all know that we love Paris Hilton...,
1108,2015-02-05,,81,rexlex,i love you my harvard boy..(,
1109,2016-12-20,,364,viperfish12,I'm still not sure if I like London.,
1110,2017-02-25,,147,youralterego,If God exists, why are morons like Paris Hilton considered beautiful?.(,
1111,2015-09-14,,361,sudebala,I miss the seattle rain..,
1112,2017-08-25,,298,craciun05,I like Honda...,
1113,2017-07-18,,438,harmon758,On a lighter note, I love my macbook.,
1114,2017-03-28,,15,cracking12345,GEICO is a GREAT ride.,
1115,2019-01-03,,324,hassan1365416,The Lakers can suck me...,
1116,2017-04-09,,451,viperfish12,I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.,
1117,2018-11-21,,157,hairy-conniption,I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.,
1118,2017-07-19,,203,amateur07,I love Harvard guys...,
1119,2018-09-11,,220,sosobanane,AAA's  Q  is catchy and an ear worm, like many of the things they've done.,
1120,2017-06-23,,376,maharnav,It was a clear, crisp, sunny day today and from my viewpoint ten miles west I had a beautiful view of Boston ’ s skyline...,
1121,2017-02-23,,312,artykom,Mind you, merry Manchester is becoming that pale imitation London, its true-London sucks, it sucks in every living organism and slurps the lifeblood from it.,
1122,2019-08-09,,178,viperfish12,Wow, having XP on my MacBook would be awesome...,
1123,2016-07-27,,313,stethoscopes,who keeps knockin on the office door. STOP,
1124,2016-07-16,,314,citrus2014,then again i hate tom cruise..,
1125,2015-03-26,,470,maharnav,I need some of that geico balboa stuff..,
1126,2015-01-08,,197,mmarvin,AAA is a good thing -- I don't know so much about AA;,
1127,2015-05-14,,211,artykom,time for alchol anonymous lmao,
1128,2019-11-22,,278,sheik_yerbouti,stupid lakers....,
1129,2017-08-20,,340,maharnav,just kidding or am i.. harvard is still amazing.,
1130,2018-05-04,,65,odalv,I love Boston too!,
1131,2015-10-18,,486,sudebala,stupid, stupid UCLA..,
1132,2016-01-25,,458,nitsua49,i miss AAA...,
1133,2016-01-27,,47,mmarvin,i love angelina jolie.,
1134,2016-03-02,,308,artykom,I hadn't set up smartd yet, thought it needed kernel changes for SATA but I just needed the -d ata  option.,
1135,2018-09-30,,40,sosobanane,Anyways the Twins are in the lead for the wild card, and yeah Boston sucks, losers.,
1136,2015-12-26,,282,aminox,Well apparently all people driving toyota 4runners are appalingly ugly, or so one would think based on him not even glancing in my direction!,
1137,2019-12-20,,68,bischopscup,And as stupid as San Francisco's road system is, we weren't able to turn back because of how all the roads are one-way streets.,
1138,2019-11-04,,232,maharnav,i love ucla!..,
1139,2019-08-01,,129,rexlex,I love Paris Hilton..,
1140,2018-09-19,,125,bischopscup,Honda's two friends are freaking awesome, and it's really great to see their backstories...,
1141,2017-09-15,,422,amateur07,I love Angelina Jolie and i love you even more, also your music on your site is my fav.,
1142,2015-04-29,,270,f1984b,love the lakers!.,
1143,2016-10-17,,446,rexlex,I still like Tom Cruise.,
1144,2017-01-15,,189,bischopscup,I hate London!!!!!!!,
1145,2018-01-11,,327,amateur07,Personally, I blame Angelina Jolie, a psychologically-damaged attention-seeker who seems to have somehow convinced almost every woman on LJ that having an icon with her face on it makes you a sexually-interesting noncomformist wildchild.,
1146,2019-05-10,,288,maharnav,Shanghai was so great, we returned for one last city jaunt on the last day of our trip!,
1147,2019-03-04,,334,sudebala,Wow, nice to care when you're all alone because Boston's sucks to hang out at and no one else was there.,
1148,2016-11-08,,71,sudebala,I like honda civics!!!!!!.,
1149,2017-08-01,,32,nitsua49,that one is hard to call, cuz the spurs are super tough, but i know my indiana pacers will kick ass...,
1150,2019-10-01,,43,maharnav,PURDUE luckIN ROCKS!!!,
1151,2016-02-03,,330,harmon758,this stupid clip on my new SONY VAIO LAPTOP....: ) i luuuuv it....,
1152,2016-11-10,,83,bischopscup,On a lighter note, I love my macbook.,
1153,2015-06-30,,99,amateur07,I love Angelina Jolie.,
1154,2019-08-07,,221,aminox,i miss AAA...,
1155,2016-12-09,,450,rexlex,i love seattle..,
1156,2016-05-08,,154,bischopscup,the stupid honda lol or a BUG!..,
1157,2018-11-10,,406,viperfish12,I like Tom Cruise, as I've stated over and over.,
1158,2015-02-23,,309,hairy-conniption,And as stupid as San Francisco's road system is, we weren't able to turn back because of how all the roads are one-way streets.,
1159,2019-06-02,,452,odalv,I hate Tom Cruise.,
1160,2015-04-04,,121,cracking12345,I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.,
1161,2015-11-20,,255,sudebala,not only do i hate paris hilton for....,
1162,2016-08-02,,248,jerusseust,= D i love Tom Cruise!!!,
1163,2016-06-18,,333,cracking12345,I love Harvard Square in the fall.,
1164,2015-11-07,,209,hairy-conniption,stupid lakers....,
1165,2019-06-20,,358,rps_1899,I'm biased, I love Angelina Jolie..,
1166,2019-12-13,,36,rps_1899,i try to enjoy my time here in san francisco.......,
1167,2016-04-22,,442,jerusseust,I hate Paris Hilton.,
1168,2019-01-10,,303,stethoscopes,Even a crappy semester in London would be better then a good semester in Cookeville...,
1169,2018-03-30,,493,tahastanly,My MacBook sucks and I am returning it..,
1170,2015-02-25,,100,artykom,I love Tom Cruise!,
1171,2018-10-09,,413,youralterego,I think at this moment i love San Francisco better than L. A..,
1172,2019-10-08,,366,alex945,TAKE THAT STUPID UCLA!!!!!!!..,
1173,2015-01-11,,463,nitsua49,what am I doing with my life..,
1174,2016-08-07,,431,stethoscopes,stupid lakers.....,
1175,2019-01-10,,470,citrus2014,I loved the Lakers episode where he told that little blonde he wants to see a woman rule the world in his lifetime because women know how to look after the pack.,
1176,2017-05-03,,334,mohamadi46,I really hate Tom Cruise.,
1177,2016-08-13,,472,f1984b,The history here goes back to the summer of 1992, when the San Francisco Giants were terrible.,
1178,2019-03-02,,345,f1984b,Oh my god I LOVE Pommes mit Mayo.,
1179,2017-01-29,,434,sosobanane,I need this State Farm job soooo bad!!!!..,
1180,2019-07-14,,193,artykom,yeah, I'm already an hour away from T. O. so it's not close for me to go to kitchener or London which sucks...,
1181,2019-01-08,,175,mmarvin,Honda is excellent,'94 and up.,
1182,2018-02-22,,35,sosobanane,oh! Traffic in Seattle sucks!,
1183,2017-02-12,,62,maharnav,Seattle sucks!!,
1184,2016-09-04,,357,aminox,Love Story At Harvard [ awesome drama!,
1185,2017-02-23,,151,odalv,Tom Cruise is giving Katie an ADULT PACIFIER to suck on during childbirth.,
1186,2017-04-11,,392,youralterego,hell ya i play on 2 basketball teams i love the lakers + pistons love both!!!!..,
1187,2019-05-05,,277,craciun05,yeah, I'm already an hour away from T. O. so it's not close for me to go to kitchener or London which sucks...,
1188,2018-10-07,,227,alex945,and i blame angelina jolie!,
1189,2018-04-30,,324,stethoscopes,& i adore my little honda < 3.,
1190,2017-09-03,,328,cracking12345,London is so attractive, so beuatiful......,
1191,2017-11-11,,368,rexlex,i hate tom cruise!!..,
1192,2019-03-26,,96,craciun05,stupid lakers!!!!!!!!!!!,
1193,2019-08-01,,259,tahastanly,London-Museums I really love the museums in London because there are a lot for me to see and they are free!,
1194,2017-09-19,,96,piley159,For those who say he doesn't deserve it cuz the Lakers stink and are barely over.,
1195,2018-05-02,,124,stethoscopes,The band that played before AAA had an amazingly beautiful bass player.,
1196,2018-05-05,,312,stethoscopes,San Francisco is great for that, too.,
1197,2018-12-05,,194,maharnav,Now I'm walking around looking like the ugliest person in the world angelina jolie!!!!!!!,
1198,2016-07-11,,169,fsv,So, for the 3 of you that have been craving some profanity-laden, semi-cogent rants about how George W Bush is the suck, you should only have to suffer a few more days....,
1199,2017-12-08,,160,cracking12345,I'm biased, I love Angelina Jolie..,
1200,2019-11-23,,184,hassan1365416,I really hate Tom Cruise.,
1201,2015-09-01,,6,rexlex,... ucla still sucks...,
1202,2016-02-12,,299,piley159,Makes me mad beca use I hate the Lakers.,
1203,2017-11-14,,287,rexlex,Honda is excellent,'94 and up.,
1204,2018-03-24,,370,odalv,harvard is for dumb people.,
1205,2016-02-18,,198,youralterego,I love the Los Angeles Lakers...,
1206,2017-11-27,,207,mohamadi46,Of course my mom loves purdue but she was set on me going there before I even saw it.,
1207,2015-02-16,,136,maharnav,I'm a big fan of Lakers, so I kind of have all the schedule for this season which it's end in april...,
1208,2016-09-25,,269,rps_1899,I've prayed and been praying that God bless the UCLA Taekwondo program and let me do His work through it.,
1209,2016-01-23,,403,tahastanly,The bus ride to ucla was super awesome, it ` s cuz i like buses and i like freeways.,
1210,2018-12-17,,249,viperfish12,I like being a MIT ~ ( member in training )..,
1211,2018-10-02,,43,mohamadi46,I love Harvard guys...,
1212,2019-04-07,,109,piley159,I love Harvard Square in the fall.,
1213,2017-03-30,,297,f1984b,Seattle sucks!!,
1214,2019-09-24,,393,mohamadi46,I hate Tom Cruise..,
1215,2018-04-27,,467,youralterego,I love Hillary Clinton, she is the Man / Woman.,
1216,2019-05-04,,179,artykom,stupid lakers should have beat suns.....,
1217,2018-04-20,,325,rexlex,As the lightening strook and the thunder rolled in the late evening, I drove me and my two buddies, James and Kelly, in my beautiful toyota landcruiser off into the mountains of summerland.,
1218,2015-04-03,,447,hassan1365416,AAA's  Q  is catchy and an ear worm, like many of the things they've done.,
1219,2019-08-30,,467,fsv,We will do awesome at allstate, you know you will...,
1220,2018-08-24,,314,hassan1365416,and i blame angelina jolie!,
1221,2015-04-22,,177,timequake,We all know that we love Paris Hilton...,
1222,2018-05-10,,32,artykom,lost a friend recently, Chris Handy, it isnt going to be the same without seeing him tooling around clinton in crappy Honda, with a header..(,
1223,2015-12-18,,94,f1984b,cause obviously toyota dealer is cheating on my feelings..,
1224,2018-06-07,,325,nitsua49,I needed San Francisco but not until a month ago.,
1225,2017-03-01,,331,bischopscup,Stupid UCLA, deserves a good poking..,
1226,2017-07-27,,87,timequake,I wanted to stick with the handy dandy Thinkpad, but they're SO expensive!,
1227,2018-11-26,,264,cracking12345,boston college is good too < 33.,
1228,2019-07-14,,377,sosobanane,i really want a sony vaio.,
1229,2016-06-25,,389,sudebala,Yes, this site I found truly found gave excellent info about thinkpad a30p hands down.,
1230,2019-12-03,,251,craciun05,miss you aaa ~..,
1231,2017-10-13,,280,mmarvin,Anyway, some crappy Honda, but, as is young peoples'customs, it has a good $ 2 million worth of sound equipment inside.,
1232,2018-11-10,,67,bischopscup,I need some of that geico balboa stuff..,
1233,2019-12-06,,43,alex945,Paris Hilton – Sexy, relevant to a different kind of Bar...,
1234,2017-05-08,,136,mmarvin,No complaints there either, cuz I love to teach math, I love logic, and I love UCLA...,
1235,2015-11-28,,393,youralterego,anyways i loved beijing as much as i loved shanghai.,
1236,2018-07-04,,392,sudebala,boston is great: ).,
1237,2017-09-08,,190,f1984b,This superb View London Christmas gift basket is...,
1238,2016-10-19,,393,cracking12345,i hate the Lakers too but this isn't a basketball blog, so i won't go into it).,
1239,2017-11-07,,2,maharnav,boston is great: ).,
1240,2018-03-04,,377,hairy-conniption,I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.,
1241,2015-04-09,,304,maharnav,was stuck in the stupid london underground for an hour and a half before getting from Paddington to Euston Square-they're about...,
1242,2018-08-05,,446,aminox,I definitely slept in my coat, but I slept really comfortably, because I had my awesome purdue blanket my mommy made me, and my own pillow.....,
1243,2016-07-24,,408,jerusseust,The noises at the Chicago Bulls game sound louder during the stupid computer races they have on the scoreboard because they pipe in louder crowd noise.,
1244,2015-03-21,,443,harmon758,i love mit and harvard both..,
1245,2018-04-21,,375,mmarvin,I like being at Purdue, not with my family.,
1246,2019-01-17,,437,mmarvin,I like Purdue University's computer lab!..,
1247,2017-04-16,,339,hassan1365416,I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.,
1248,2019-01-02,,131,fsv,i love my american express.:)...,
1249,2015-12-07,,228,rps_1899,I would like to see the Dallas Mavericks win because they never have bu it is hard not to like the Suns for what Steve Nash has done with them...,
1250,2019-02-23,,439,artykom,Mind you, I blame the mother mit der early toilet training.,
1251,2018-05-19,,11,tahastanly,As the lightening strook and the thunder rolled in the late evening, I drove me and my two buddies, James and Kelly, in my beautiful toyota landcruiser off into the mountains of summerland.,
1252,2018-01-05,,23,viperfish12,I already knew that I wanted the Sony Vaio but Grandy kept insisting and making me look at other computers even though I told her that I knew what I wanted(,
1253,2018-09-10,,454,sheik_yerbouti,I love Angelina Jolie and i love you even more, also your music on your site is my fav.,
1254,2015-05-16,,424,maharnav,The history here goes back to the summer of 1992, when the San Francisco Giants were terrible.,
1255,2017-06-14,,371,cracking12345,Stupid Boston...,
1256,2017-03-06,,29,nitsua49,By the time I left the Hospital, I had no time to drive to Boston-which sucked because 1),
1257,2015-03-15,,7,odalv,ps i LOVE toyota and yeh you need a HIS AND HERS....,
1258,2016-11-18,,380,hairy-conniption,anyway, shanghai is really beautiful , starbucks ,
1259,2019-05-05,,164,f1984b,. I'm pleased to announce that Boston sucked...,
1260,2015-11-14,,92,rexlex, Angelina Jolie is the most beautiful woman in Hollywood,  he said..,
1261,2015-04-20,,173,alex945,UCLA is stupid, I realized.,
1262,2015-04-13,,353,hassan1365416,we have a boring as shit blue 2005 toyota carolla.,
1263,2016-01-29,,429,harmon758,If God exists, why are morons like Paris Hilton considered beautiful?.(,
1264,2018-09-20,,288,rexlex,Why I love Purdue: Photo explanation # 8357...,
1265,2017-10-19,,265,f1984b,i love seattle..,
1266,2015-11-20,,248,stethoscopes,And i've managed to cover all of my own food expenses as of thus far by working as Harvard's random task cutey -- doubly freaking sweet(,
1267,2016-11-17,,38,sudebala,I need to pay Geico and a host of other bills but that is neither here nor there.,
1268,2017-05-11,,286,sudebala,Angelina Jolie is beautiful.,
1269,2016-03-10,,245,amateur07,I love ToYoTa!!!..,
1270,2016-09-24,,406,craciun05,As much as I hate to quote the Mastercard commercials...,
1271,2018-08-24,,498,mohamadi46,then again i hate tom cruise..,
1272,2017-07-27,,269,sudebala,I still like Tom Cruise.,
1273,2016-10-07,,481,youralterego,But I miss Boston.,
1274,2016-10-30,,100,alex945,besides, UCLA was a stupid dream...,
1275,2015-11-28,,273,rexlex,i love ucla!..,
1276,2015-07-08,,35,alex945,The Honda is awesome.,
1277,2015-02-05,,6,timequake,the trip to cali was shit, southwest airlines sucks!,
1278,2017-09-01,,71,f1984b,UCLA is beautiful.,
1279,2018-03-15,,493,mmarvin,Funny that harvard was almost more stressful than MY AUDITION!,
1280,2017-12-28,,375,odalv,Apparently, MIT and Olin are awesome.,
1281,2017-04-26,,442,mmarvin,harvard is dumb, i mean they really have to be stupid to have not wanted her to be at their school.,
1282,2016-02-19,,346,piley159,i'd love to see the clips and lakers in the second round, though the winner would just be a stepping stone for the mavs or spurs...,
1283,2018-03-30,,64,tahastanly,i look across my beautiful boston, and something inside me is taken aback, struck with such force that i lose my breathe for a second...,
1284,2017-09-19,,89,artykom,Oh man, last night's Lakers playoff game was awesome.,
1285,2019-12-13,,257,amateur07,I LOVE THAT PARIS HILTON SONG..,
1286,2015-04-07,,424,mohamadi46,I miss crossing London's bridges ( and am suffering severe case of London homesickness at the moment...! ).,
1287,2018-12-21,,247,youralterego,Still loves Tom Cruise...,
1288,2017-05-05,,364,timequake,london sucks....,
1289,2016-06-30,,78,youralterego,I need an American Express card.,
1290,2019-01-14,,60,maharnav,either or, not too big though, I think Angelina Jolie's are unattractive.,
1291,2018-04-02,,471,alex945,Before I left Missouri, I thought London was going to be so good and cool and fun and a really great experience and I was really excited.,
1292,2018-06-04,,252,artykom,hell ya i play on 2 basketball teams i love the lakers + pistons love both!!!!..,
1293,2015-10-17,,349,piley159,Boston's been awesome.,
1294,2018-03-10,,77,artykom,I love Tom Cruise.,
1295,2017-01-18,,1,aminox,Lol the other day this super ugly fat girl who i have never even talked to before said i looked like a paris hilton wanna-be, i was like wow thanks i love paris hilton!,
1296,2018-01-27,,457,tahastanly,He says that my other job, the one that says I'm supposed to protect Earth and monitor organizations like the London Necromantic Circle and the stupid Core Construction assholes, hasn't been getting done...,
1297,2018-01-15,,187,sudebala,I love Angelina Jolie.,
1298,2019-12-30,,42,maharnav,I liked Tom Cruise until he dumped Nicole Kidman.,
1299,2019-03-10,,132,jerusseust,I like Tom Cruise and will boycott Paramount Pictures..,
1300,2015-06-16,,346,jerusseust,i love ucla!..,
1301,2015-02-20,,493,piley159,As the lightening strook and the thunder rolled in the late evening, I drove me and my two buddies, James and Kelly, in my beautiful toyota landcruiser off into the mountains of summerland.,
1302,2018-02-23,,283,tahastanly,i wouldnt really recommend uk anymore i hate london.,
1303,2017-11-07,,63,stethoscopes,but the macbook looks so awesome.,
1304,2015-09-04,,441,cracking12345,i love ucla!..,
1305,2019-12-28,,13,mohamadi46,oh and I love AAA....,
1306,2016-03-30,,456,hassan1365416,Inside Joke with Floyd and I, I of course, spelled Purdue wrong, and he of course corrected me...,
1307,2016-03-14,,435,aminox,I love the Toyota Prius.,
1308,2019-11-03,,17,piley159,Two, as much as I love Washington, I will always love the Lakers and Raiders, because the Seahawks-and Sonics, to a lesser degree-make me want to puke.,
1309,2019-01-12,,261,cracking12345,Before I left Missouri, I thought London was going to be so good and cool and fun and a really great experience and I was really excited.,
1310,2019-01-19,,339,alex945,BOSTON SUCKS!!!,
1311,2019-04-22,,74,stethoscopes,San Francisco's Disastrous Policy Exposed!..,
1312,2016-12-03,,166,artykom,Well, i hate london but the department isn't AS bad but hey, that can change by next week!!..,
1313,2015-06-13,,444,timequake,hell ya i play on 2 basketball teams i love the lakers + pistons love both!!!!..,
1314,2015-05-03,,77,odalv,we both have to leave la.. i miss you aaa...,
1315,2017-11-07,,142,rexlex,i love angelina jolie.,
1316,2015-05-13,,211,sudebala,you actually made US Airways look good.,
1317,2017-02-20,,297,craciun05,UCLA is stupid, I realized.,
1318,2015-02-12,,161,odalv,I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.,
1319,2019-08-17,,186,rps_1899,To be specific, an online column he wrote at indybay.org suggesting that Alan Dershowitz be assassinated, coupled with an obscene depiction of the Harvard professor, is cause for alarm...,
1320,2016-05-05,,252,hairy-conniption,Piece of crap Toyota Station wagon..,
1321,2019-02-19,,163,alex945,This means we beat out schools like MIT, which is amazing for a relatively small, unassuming lil'IS department.,
1322,2019-09-09,,50,harmon758,I love the whole mastercard reference.,
1323,2015-09-12,,337,rps_1899,I can only imagine, with the bloated egos and arrogant liberalism at Harvard, this effect was magnified...,
1324,2015-06-15,,211,citrus2014,i'm currently watching love at harvard on youtube(,
1325,2015-09-25,,493,f1984b,i'd love to see the clips and lakers in the second round, though the winner would just be a stepping stone for the mavs or spurs...,
1326,2015-10-26,,223,rexlex,I told her that UCLA is excellent for both...,
1327,2015-08-30,,434,hassan1365416,London yesterday kinda sucked tbh, well, the Houses of Parliament did anyway.,
1328,2015-06-05,,225,sudebala,The Honda is awesome.,
